Company,Sector,Stage,Amount($),Location,funding_year,Investor
Quicko,Taxation,Unknown,280000.0,Ahmedabad,2020,"Zerodha fintech fund, Rainmatter"
Satin Creditcare,FinTech,Unknown,15000000.0,Gurgaon,2020,Austrian Bank
XpressBees,Logistics,Unknown,10000000.0,Unknown,2020,Alibaba
FarmERP,AgriTech,Series A,0.0,Pune,2020,TechnoGen
Wealth Bucket,FinTech,Unknown,3000000.0,Unknown,2020,"NorthStar, Vinod Khatumal"
GoMechanic,Automobile Technology,Series B,14700000.0,New Delhi,2020,"Chiratae Ventures, Sequoia Capital, Orios Venture Partners"
Fashor,Fashion,Pre-series A,1000000.0,Chennai,2020,Sprout venture partners
Leverage Edu,EdTech,Unknown,1500000.0,New Delhi,2020,"DSG Consumer Partners, Blume Ventures"
EpiFi,FinTech,Seed ,13200000.0,Unknown,2020,"Sequoia India, Ribbit Capital"
Purplle,Cosmetics,Unknown,8000000.0,Mumbai,2020,Verlinvest
Shuttl,Transport,Series C,8043000.0,New Delhi,2020,SIG Global India Fund LLP.
Pando,LogiTech,Series A,9000000.0,Chennai,2020,Chiratae Ventures
Unbox Robotics,AI ,Pre-series A,1200000.0,Bengaluru,2021,"BEENEXT, Entrepreneur First"
upGrad,EdTech,Unknown,120000000.0,Mumbai,2021,"Unilazer Ventures, IIFL Asset Management"
Lead School,EdTech,Series D,30000000.0,Mumbai,2021,"GSV Ventures, Westbridge Capital"
Bizongo,B2B E-commerce,Series C,51000000.0,Mumbai,2021,"CDC Group, IDG Capital"
FypMoney,FinTech,Seed,2000000.0,Gurgaon,2021,"Liberatha Kallat, Mukesh Yadav, Dinesh Nagpal"
Urban Company,Home services,Unknown,188000000.0,New Delhi,2021,Vy Capital
Comofi Medtech,HealthTech,Unknown,200000.0,Bengaluru,2021,"CIIE.CO, KIIT-TBI"
Qube Health,HealthTech,Pre-series A,0.0,Mumbai,2021,Inflection Point Ventures
Vitra AI,Tech ,Unknown,0.0,Bengaluru,2021,Inflexor Ventures
Taikee,E-commerce,Unknown,1000000.0,Mumbai,2021,Unknown
Fitterfly,HealthTech,Pre-series A,3000000.0,Mumbai,2021,"9Unicorns Accelerator Fund, Metaform Ventures"
FreeStand,B2B service,Unknown,100000.0,New Delhi,2021,"SucSEED Indovation, IIM Calcutta Innovation Park"
MyDentalPlan,Healthcare,Seed,700000.0,Bengaluru,2021,Safe Planet Medicare
Freyr Energy,Renewable Energy,Unknown,2000000.0,Hyderabad,2021,"Impact Partners, C4D Partners"
DealShare,E-commerce,Unknown,9000000.0,Jaipur,2021,"Tiger Global Management, InnoVen Capital"
Tessolve,Electronics,Unknown,40000000.0,Bengaluru,2021,Novo Tellus Capital
Smart Joules,Renewable Energy,Unknown,49000000.0,New Delhi,2021,"Raintree Family Office, ADB arm"
ORAI,IT ,Pre-series A,400000.0,Bengaluru,2021,Inflection Point Ventures
ixamBee,EdTech,Seed,300000.0,New Delhi,2021,"Mumbai Angels, Narendra Shyamsukha"
CoinSwitch Kuber,FinTech,Series B,25000000.0,Bengaluru,2021,"Paradigm, Kunal Shah"
Razorpay,FinTech,Series E,160000000.0,Bengaluru,2021,"Matrix Partners India, GIC"
Uable,EdTech,Seed,0.0,Bengaluru,2021,"Chiratae Ventures, JAFCO Asia"
ZFW Hospitality,"Food , Beverages",Pre-seed,150000.0,New Delhi,2021,"Mumbai Angels Network, Expert DOJO"
Optimized Electrotech,Aeorspace,Pre-series A,1800000.0,Ahmadabad,2021,GVFL
Northern Arc,FinTech,Unknown,5000000.0,Chennai,2021,"Kotak Mahindra Bank, FMO"
Chara,Deep Tech,Seed,850000.0,Bengaluru,2021,Kalaari Capital
Sirona Hygiene,HealthTech,Series A,3000000.0,New Delhi,2021,"NB Ventures, IAN Fund"
Pristyn Care,HealthTech,Series D,53000000.0,Gurgaon,2021,"Sequoia Capital India, Hummingbird Ventures"
TrulyMadly,Dating,Pre-series A,2000000.0,New Delhi,2021,"Gaurav Munjal, Snehil Khanor"
Vidyakul,EdTech,Seed,500000.0,Uknown,2021,"JITO Angel Network, SOSV"
Jambox Games,Gaming,Seed,1100000.0,Bengaluru,2021,Unknown
Miko,Robotics,Unknown,6000000.0,Mumbai,2021,"Chiratae Ventures, YourNest Venture Capital"
SuperK,Retail,Seed,800000.0,Small Towns,2021,STRIVE VC
TagZ Foods,Food,Pre-series A,500000.0,Bengaluru,2021,Venture Catalysts
Fuel Buddy,Oil and Energy,Unknown,1000000.0,New Delhi,2021,Jaipuria Family Office
M1xchange,FinTech,Unknown,10000000.0,Gurgaon,2021,Amazon
Spintly,Tech ,Unknown,500000.0,Goa,2021,Riso Capital
EF Polymer,AgriTech,Unknown,200000.0,Rajsamand,2021,MTG Ventures
boAt,Electronics,Unknown,6000000.0,New Delhi,2021,"Qualcomm Ventures, Warburg Pincus"
TruNativ,"Food , Beverages",Seed,0.0,Mumbai,2021,9Unicorns
iBus,Telecommuncation,Unknown,21000000.0,Bengaluru,2021,Morgan Stanley
Puresh Daily,Milk ,Seed,100000.0,Ranchi,2021,"Alfa Ventures, Agility Venture Partners"
LearnVern,EdTech,Unknown,1000000.0,Ahmadabad,2021,Unknown
LimeChat,AI Chatbot,Seed,7500000.0,Haryana,2021,"Stellaris Venture Partners, Ramakant Sharma"
Dybo,IT,Seed,100000.0,Bengaluru,2021,Spanache
moEVing,Logistics,Seed,1000000.0,Gurgaon,2021,Unknown
WeWork India,Hospitality,Unknown,26000000.0,Bengaluru,2021,Unknown
Solethreads,Fashion,Series A,1000000.0,Gurgaon,2021,"DSG Consumer Partners, Saama Capital"
Beldara,E-commerce,Unknown,7400000.0,Mumbai,2021,Hindustan Media Ventures
CredFlow,FinTech,Seed,2000000.0,New Delhi,2021,"Stellaris Venture Partners, Omidyar Network India, Flourish Ventures"
Do Your Thng,Marketing,Unknown,1500000.0,Gurgaon,2021,"Angelbay Holdings, Faad Network"
Oye Rickshaw,Transportation,Unknown,3000000.0,Gurgaon,2021,"Alteria Capital, Chiratae Ventures"
Legitquest,LegalTech,Unknown,600000.0,New Delhi,2021,"WaterBridge Ventures, Info Edge"
Swiggy,Food delivery,Unknown,800000000.0,Bengaluru,2021,"Carmignac, Falcon Edge Capital"
AntWak,EdTech,Seed,0.0,Bengaluru,2021,"Vaibhav Domkundwar, Kunal Shah"
PlayShifu,EdTech,Series B,17000000.0,Bengaluru,2021,"Chiratae Ventures, Bharat Innovation Fund"
Pitstop,Automotive,Pre-series B,3500000.0,Bengaluru,2021,"Acko Technology, Services, LetsVenture"
Lendingkart,FinTech,Debt Financing,15000000.0,Gujarat,2021,"Bertelsmann India Investments, Fullerton Financial Holdings"
CRED,FinTech,Series D,215000000.0,Bengaluru,2021,"Dragoneer Investment Group, Tiger Global Management"
Karnival,SaaS ,Seed,2500000.0,Bengaluru,2021,100x.VC
PharmEasy,HealthTech,Series E,350000000.0,Mumbai,2021,"TPG Growth, Caisse de Depot et Placement du Quebec"
WESS,Renewable Energy,Seed,2000000.0,Mumbai,2021,Centrum Financial Services
ShopSe,FinTech,Unknown,5500000.0,Mumbai,2021,"Chiratae Ventures, BEENEXT"
Fantasy Akhada,Fantasy sports,Unknown,600000.0,Gurgaon,2021,Harsha Bhogle
Rage Coffee,"Food , Beverages",Pre-series A,0.0,New Delhi,2021,"GetVantage, Prakash Katama"
Groww,FinTech,Series D,83000000.0,Bengaluru,2021,"Tiger Global Management, Y Combinator Continuity Fund"
Avanti Finance,FinTech,Series A,26000000.0,Bengaluru,2021,Michael & Susan Dell Foundation
Kudos,FinTech,Pre-series A,0.0,Pune,2021,Marquee fintech founders
OfBusiness,FinTech,Unknown,110000000.0,Gurgaon,2021,"Falcon Edge India, Norwest Venture Partners"
Superpro AI,Video communication,Seed,3000000.0,Bengaluru,2021,"SOSV, Omphalos Ventures India"
ShareChat,Social Media,Unknown,500000000.0,Bengaluru,2021,"Twitter Ventures, Pawan Munjal"
WiT-ACE,Skill development,Seed,1000000.0,Gurgaon,2021,CitiusTech
Spinny,Retail,Series C,65000000.0,Gurgaon,2021,"Arena Holdings, Think Investments"
Alteria Capital,FinTech,Debt Financing,150000000000.0,Mumbai,2021,Unknown
Safexpay,FinTech,Unknown,6000000.0,Thane,2021,"T Choithrams BVI, Ardor"
PumPumPum,Rental,Pre-series A,700000.0,Gurgaon,2021,"Kogta Financial India Limited, ICICI Bank"
Speciale Invest,FinTech,Unknown,10000000.0,Bengaluru,2021,Unknown
Eunimart,E-commerce,Pre-series A,700000.0,Hyderabad,2021,"SucSEED Venture Partners, TMT Connekt"
Meesho,E-commerce,Unknown,300000000.0,Bengaluru,2021,"SAIF Partners, Venture Highway"
CareerLabs,EdTech,Unknown,2200000.0,Bengaluru,2021,Global Founders Capital
Uable,EdTech,Pre-series A,35000000.0,Bengaluru,2021,"JAFCO Asia, Chiratae Ventures"
Zoko,Tech ,Seed,140000000.0,Bengaluru,2021,Y Combinator
GetWork,Recruitment,Seed,200000.0,Gurgaon,2021,Artha Venture Fund
Easebuzz,E-commerce,Series A,4000000.0,Pune,2021,"Jitendra Gupta, Amrish Rau"
Chingari,Social Media,Unknown,13000000.0,Bengaluru,2021,"FJ Labs, Brian Norgard"
DusMinute,Retail,Pre-series A,1100000.0,Bengaluru,2021,Indian Angel Network
Onsurity,Healthcare,Unknown,,Bengaluru,2021,"Jitendra Gupta, Harsh Shah"
Karbon Card,FinTech,Unknown,0.0,Bengaluru,2021,Y Combinator
Factors AI,SaaS ,Unknown,2000000.0,Bengaluru,2021,"Elevation Partners, Emergent Ventures"
Elevar,Sports,Unknown,2000000.0,Mumbai,2021,"Kalaari Capital, Dream Capital"
Studio Sirah,Computer Games,Unknown,800000.0,Bengaluru,2021,Lumikai
OTO Capital,FinTech,Unknown,6000000.0,Mumbai,2021,Matrix Partners India
1Bridge,Consumer Goods,Unknown,2500000.0,Bengaluru,2021,C4D Partners
Skeps,FinTech,Unknown,9500000.0,Gurgaon,2021,Bertelsmann India
Curefoods,"Food , Beverages",Unknown,13000000.0,Bengaluru,2021,"Iron Pillar, Nordstar, Binny Bansal"
TartanSense,IT,Unknown,5000000.0,Bengaluru,2021,"FMC, Omnivore, Blume Ventures"
Bewakoof,"Apparel , Fashion",Unknown,8000000.0,Mumbai,2021,InvestCorp
Kirana247,"Logistics , Supply Chain",Unknown,1000000.0,New Delhi,2021,Unknown
FanPlay,Computer Games,Unknown,1200000.0,Unknown,2021,Upsparks
NeoDocs,HealthTech,Unknown,0.0,Mumbai,2021,"Y Combinator, 9Unicorns, Titan Capital"
IsGoingOnline,Retail,Unknown,200000.0,Cochin,2021,"Unicorn India Ventures, SEA Fund, Devdatt Shah"
Camp K12,EdTech,Unknown,12000000.0,Gurgaon,2021,"Matrix Partners India, Elevation Capital"
Elda Health,Healthcare,Unknown,1500000.0,Bengaluru,2021,"Avaana Capital, Orios Ventures"
Sporjo,SportsTech,Unknown,2000000.0,Mumbai,2021,Punit Balan
Advantage Club,HRTech,Unknown,1700000.0,Mumbai,2021,"Y Combinator, Broom Ventures, Kunal Shah"
